0.867262	0.847497	0.815995	0.779587	0.754245	0.726968	0.706327	0.695393	0.690692	0.691235	0.692486	0.688298	0.687034	0.686064	0.686587	0.686026	0.690196	0.689424	0.689837	0.688977	0.688624	0.686041	0.681137	0.6749	0.673438	0.668765
0.849225	0.830451	0.797537	0.760971	0.737443	0.710193	0.689816	0.678611	0.673321	0.673783	0.674515	0.670536	0.669018	0.668002	0.669278	0.668217	0.672003	0.671565	0.672892	0.671818	0.670679	0.668179	0.663181	0.657034	0.656176	0.651383
0.82693	0.80962	0.77766	0.742307	0.719472	0.694452	0.674403	0.663125	0.658021	0.658617	0.65929	0.655375	0.653877	0.652604	0.653337	0.652604	0.656954	0.656632	0.656988	0.656048	0.655447	0.652444	0.647612	0.642078	0.640484	0.635788
0.791925	0.775241	0.744356	0.711303	0.691433	0.668707	0.65139	0.640944	0.636344	0.636801	0.637313	0.633689	0.631497	0.630675	0.631735	0.631002	0.634557	0.633928	0.634447	0.633811	0.63308	0.630557	0.625583	0.620031	0.619202	0.61411
0.744124	0.731714	0.70106	0.671122	0.65546	0.63714	0.623009	0.613627	0.608933	0.609506	0.610069	0.606389	0.604686	0.603706	0.604978	0.603647	0.606848	0.606634	0.606855	0.606722	0.605191	0.6028	0.598067	0.592515	0.591555	0.586728
0.702775	0.690757	0.664229	0.636572	0.624051	0.609493	0.596626	0.58819	0.585056	0.58557	0.585934	0.582208	0.580448	0.579096	0.579608	0.578811	0.582804	0.581903	0.582325	0.581935	0.580441	0.578544	0.57337	0.568941	0.567261	0.562853
0.662032	0.6519	0.626586	0.602969	0.593189	0.581773	0.571248	0.564675	0.560985	0.561627	0.56225	0.558977	0.556517	0.555109	0.555508	0.555518	0.558299	0.558093	0.559222	0.558351	0.557072	0.554752	0.550312	0.544528	0.543944	0.539619
0.622165	0.612277	0.590889	0.57016	0.563932	0.55414	0.54595	0.540312	0.536884	0.53802	0.538452	0.534776	0.532774	0.53195	0.532614	0.532147	0.534736	0.534685	0.535179	0.534357	0.5331	0.530857	0.52675	0.520981	0.520702	0.516793
0.584752	0.577081	0.558653	0.539825	0.535815	0.528772	0.522503	0.517405	0.514468	0.516085	0.516519	0.513061	0.510805	0.509727	0.510419	0.5099	0.51273	0.512876	0.512943	0.51208	0.511479	0.509621	0.504898	0.49966	0.499403	0.494716
0.544229	0.537445	0.520114	0.505034	0.504413	0.499231	0.495613	0.491625	0.488995	0.490559	0.491655	0.487859	0.485966	0.485223	0.486045	0.485262	0.488023	0.488262	0.488941	0.486998	0.486847	0.485174	0.480141	0.47516	0.475726	0.471019
0.503404	0.497943	0.484624	0.47176	0.47372	0.471101	0.468684	0.466768	0.465127	0.466701	0.467118	0.4642	0.462323	0.461386	0.461779	0.461437	0.464908	0.464225	0.46462	0.463031	0.462813	0.461075	0.456808	0.452061	0.45142	0.448859
0.466026	0.462343	0.45157	0.440801	0.445279	0.445796	0.446003	0.444748	0.443617	0.445168	0.445934	0.44311	0.441258	0.440362	0.440828	0.440406	0.443294	0.443419	0.443884	0.442701	0.44165	0.440221	0.436434	0.431644	0.431806	0.428526
